K,new_K,use_global_prior,learning_rate,avg_corr,median_corr,min_corr,silhouette_avg,dbi,cell_type_column,silhouette_NMF,input_conc,best_elbo,cell_type_accuracy,subtissue_accuracy,age_accuracy,wayp,mean_cell_entropy,overall_cell_total_entropy,Source
20,20,True,0.1,0.3619711669484913,0.3487637577251392,0.3369090717394933,0.06775087,5.982815697386349,cell_ontology_class,,inf,535001755.5494777,0.8536523929471033,0.3015113350125945,0.4670025188916876,NO,1.8800527479779,37317.16699461334,BrainOnly
50,50,True,0.1,0.2553384353863554,0.228536153746295,0.2194096727987003,0.033922937,7.614642194591019,cell_ontology_class,,inf,487697923.3980422,0.8584382871536524,0.3123425692695214,0.514609571788413,NO,2.287620882954746,45406.98690576877,BrainOnly
100,5,False,0.1,0.888441742989349,0.8738320644717316,0.8417610662972018,-0.2030832,5.759113772003518,cell_ontology_class,,0.96441376,89059937.19378068,0.7183879093198993,0.298992443324937,0.5267002518891688,NO,0.6004382199353029,11918.098227495826,BrainOnly
100,44,True,0.1,0.1729951045663716,0.1704972664459551,0.1634293634247389,0.026024338,7.54378067394941,cell_ontology_class,,inf,455244830.94956994,0.7685138539042821,0.2942065491183879,0.4972292191435768,NO,2.0180133144102754,40055.546277729554,BrainOnly
50,47,False,0.1,0.2143332192937327,0.2105411225816732,0.204906584635443,0.057963073,6.02644699835202,cell_ontology_class,,inf,477088178.8461625,0.8544080604534005,0.307808564231738,0.4793450881612091,NO,2.1119500437350807,41920.096418097615,BrainOnly
50,13,False,0.1,0.8595917681073643,0.8941088579830945,0.7844314635622196,-0.032851107,5.0704424327701005,cell_ontology_class,,1.0021574,88297776.45980403,0.853904282115869,0.3413098236775819,0.5904282115869017,NO,1.1935608252649794,23690.98882068457,BrainOnly
50,49,True,0.1,0.2492315676225821,0.2423638162691633,0.2376035131116332,0.05005347,6.679778962422574,cell_ontology_class,,inf,491463652.8641484,0.8634760705289672,0.3136020151133501,0.5267002518891688,NO,2.249153322259805,44643.44429353486,BrainOnly
20,20,True,0.1,0.629455649629806,0.6185336026931773,0.609556846954745,0.057472676,5.808243783966397,cell_ontology_class,,0.99961555,88081158.61903714,0.8806045340050378,0.3382871536523929,0.6148614609571789,NO,1.8845752459958265,37406.93405777116,BrainOnly
50,11,False,0.1,0.6011914255748122,0.55599333651256,0.5125444458631107,0.12229882,8.051221624372857,cell_ontology_class,,1.0075792,88308576.8729072,0.8773299748110831,0.3186397984886649,0.5476070528967254,NO,0.8987677093560253,17839.640263007746,BrainOnly
100,5,False,0.1,0.916539114200709,0.8861949683232805,0.881261868483098,-0.23787853,7.35332807325033,cell_ontology_class,,0.9822752,89048796.14071885,0.7654911838790932,0.3055415617128463,0.4957178841309824,NO,0.4582205783934354,9095.2202605313,BrainOnly
200,6,True,0.1,0.9037344284692752,0.9321580834222142,0.8317894493117667,-0.17409068,6.376871776985823,cell_ontology_class,,0.9323801,90755380.4211305,0.7778337531486146,0.3198992443324937,0.5297229219143577,NO,1.041563367636476,20673.99128421641,BrainOnly
50,46,False,0.1,0.2175958985422299,0.2154404162896777,0.2010882030789786,0.04315164,7.102991328146735,cell_ontology_class,,inf,477097078.56178826,0.8503778337531486,0.3204030226700252,0.4939546599496222,NO,2.122054499871882,42120.65976795699,BrainOnly
20,20,True,0.1,0.3486339702569999,0.3475286670726211,0.3222338333849721,0.0942261,6.452461534999117,cell_ontology_class,,inf,540988748.7521656,0.8644836272040303,0.3070528967254408,0.4770780856423174,NO,1.9473854211410695,38653.65322422909,BrainOnly
200,8,True,0.1,0.8851326032061166,0.8986275605016271,0.8512076833514177,-0.151803,7.506407866948762,cell_ontology_class,,0.95252293,90625575.66771226,0.8163727959697733,0.3267002518891688,0.5544080604534005,NO,1.36970057781736,27187.18676909678,BrainOnly
50,29,True,0.1,0.6146758645258599,0.524044472878879,0.5082729458585704,0.05106015,4.285348148363644,cell_ontology_class,,0.9940008,88667841.97283465,0.8629722921914358,0.3367758186397985,0.6241813602015114,NO,2.107884268985992,41839.39485510295,BrainOnly
20,20,False,0.1,0.3816201108769643,0.3692984077041124,0.3364329903187276,0.107049555,6.52357168049879,cell_ontology_class,,inf,520681294.5099947,0.8614609571788413,0.3025188916876574,0.4770780856423174,NO,1.661142666532222,32972.02078799807,BrainOnly
