cell_id,psap_expression
E13-MAA000581-3_10_M-1-1,0.0
E13-MAA000941-3_8_M-1-1,1.1574047
E14-B003275-3_38_F-1-1,1.8239973
E14-B003290-3_38_F-1-1,3.0227888
E16-B003275-3_38_F-1-1,0.011470832
E17-B003275-3_38_F-1-1,0.0
E18-MAA000581-3_10_M-1-1,0.17207208
E18-MAA000638-3_9_M-1-1,0.018144576
E18-MAA000932-3_11_M-1-1,2.6764216
E19-MAA000561-3_10_M-1-1,2.2429147
E19-MAA000581-3_10_M-1-1,0.2865466
E1-B003290-3_38_F-1-1,2.4659348
E1-MAA000932-3_11_M-1-1,0.16727518
E1-MAA001845-3_39_F-1-1,1.2065896
E1-MAA001895-3_38_F-1-1,0.50568175
E20-B003275-3_38_F-1-1,1.9894043
E20-MAA000581-3_10_M-1-1,2.6634834
E20-MAA000944-3_9_M-1-1,1.8366514
E21-MAA000581-3_10_M-1-1,2.4592595
E21-MAA000926-3_9_M-1-1,2.3368826
E22-B000621-3_56_F-1-1,2.7419746
E2-B003290-3_38_F-1-1,0.0
E2-MAA000560-3_10_M-1-1,2.0534043
E2-MAA000932-3_11_M-1-1,0.8074334
E3-MAA000932-3_11_M-1-1,1.6381408
E3-MAA001845-3_39_F-1-1,1.6087033
E4-MAA000930-3_8_M-1-1,2.731391
E4-MAA000932-3_11_M-1-1,2.5596335
E4-MAA000941-3_8_M-1-1,1.6422887
E4-MAA001845-3_39_F-1-1,1.6022781
E4-MAA001895-3_38_F-1-1,1.8340876
E5-MAA001845-3_39_F-1-1,0.79604495
E6-B003290-3_38_F-1-1,2.474505
E6-MAA000932-3_11_M-1-1,2.5376625
E6-MAA001895-3_38_F-1-1,1.5187305
E7-B003290-3_38_F-1-1,3.0726137
E8-B003275-3_38_F-1-1,2.212415
E8-B003290-3_38_F-1-1,1.4155596
E9-B003290-3_38_F-1-1,0.0
F10-MAA000553-3_10_M-1-1,2.3375032
F10-MAA000932-3_11_M-1-1,1.8378338
F11-B003275-3_38_F-1-1,0.5836764
F11-MAA000553-3_10_M-1-1,1.8008657
F11-MAA000564-3_10_M-1-1,2.8471177
F11-MAA000932-3_11_M-1-1,1.5959662
F12-B003275-3_38_F-1-1,0.03336718
F12-B003290-3_38_F-1-1,1.0971217
F12-MAA000561-3_10_M-1-1,2.2152507
F13-B003275-3_38_F-1-1,1.3296942
F13-MAA000942-3_8_M-1-1,1.1118209
F14-MAA000424-3_11_M-1-1,3.1898685
F14-MAA000581-3_10_M-1-1,1.9577061
F14-MAA001895-3_38_F-1-1,1.5972072
F15-B003275-3_38_F-1-1,2.5553558
F15-B003290-3_38_F-1-1,2.7838972
F15-MAA000902-3_11_M-1-1,1.8804219
F15-MAA000930-3_8_M-1-1,2.581221
F15-MAA001895-3_38_F-1-1,1.7863592
F16-MAA000581-3_10_M-1-1,2.7968175
F17-B003290-3_38_F-1-1,0.0
F18-MAA000424-3_11_M-1-1,1.9987246
F18-MAA000581-3_10_M-1-1,2.322162
F18-MAA001895-3_38_F-1-1,1.0458277
F19-B003275-3_38_F-1-1,1.5721899
F1-B003290-3_38_F-1-1,1.3962443
