,cell_id_index,cell_type,junction_id_index,junc_count,cluster_count,junction_id,Cluster,gene_id,junc_ratio
852987,358,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,9.0,27,10_60296002_60299097,5903,Psap,0.3333333333333333
852988,359,Brain_Non-Myeloid_endothelial_cell,549,19.0,19,10_60296002_60299097,5903,Psap,1.0
852989,360,Brain_Non-Myeloid_endothelial_cell,549,1.0,1,10_60296002_60299097,5903,Psap,1.0
852990,361,Brain_Non-Myeloid_endothelial_cell,549,13.0,13,10_60296002_60299097,5903,Psap,1.0
852991,362,Brain_Non-Myeloid_endothelial_cell,549,2.0,2,10_60296002_60299097,5903,Psap,1.0
852992,363,Brain_Non-Myeloid_endothelial_cell,549,9.0,9,10_60296002_60299097,5903,Psap,1.0
852993,364,Brain_Non-Myeloid_endothelial_cell,549,3.0,3,10_60296002_60299097,5903,Psap,1.0
852994,367,Brain_Non-Myeloid_endothelial_cell,549,28.0,28,10_60296002_60299097,5903,Psap,1.0
852995,368,Brain_Non-Myeloid_endothelial_cell,549,5.0,5,10_60296002_60299097,5903,Psap,1.0
852996,369,Brain_Non-Myeloid_endothelial_cell,549,164.0,164,10_60296002_60299097,5903,Psap,1.0
852997,370,Brain_Non-Myeloid_endothelial_cell,549,21.0,21,10_60296002_60299097,5903,Psap,1.0
852998,371,Brain_Non-Myeloid_endothelial_cell,549,3.0,3,10_60296002_60299097,5903,Psap,1.0
852999,372,Brain_Non-Myeloid_endothelial_cell,549,38.0,38,10_60296002_60299097,5903,Psap,1.0
853000,373,Brain_Non-Myeloid_endothelial_cell,549,22.0,22,10_60296002_60299097,5903,Psap,1.0
853001,374,Brain_Non-Myeloid_endothelial_cell,549,123.0,123,10_60296002_60299097,5903,Psap,1.0
853002,375,Brain_Non-Myeloid_endothelial_cell,549,86.0,86,10_60296002_60299097,5903,Psap,1.0
853003,376,Brain_Non-Myeloid_endothelial_cell,549,28.0,28,10_60296002_60299097,5903,Psap,1.0
853004,377,Brain_Non-Myeloid_endothelial_cell,549,52.0,52,10_60296002_60299097,5903,Psap,1.0
853005,379,Brain_Non-Myeloid_endothelial_cell,549,53.0,53,10_60296002_60299097,5903,Psap,1.0
853006,381,Brain_Non-Myeloid_endothelial_cell,549,6.0,6,10_60296002_60299097,5903,Psap,1.0
853007,382,Brain_Non-Myeloid_endothelial_cell,549,56.0,56,10_60296002_60299097,5903,Psap,1.0
853008,383,Brain_Non-Myeloid_endothelial_cell,549,1.0,1,10_60296002_60299097,5903,Psap,1.0
853009,384,Brain_Non-Myeloid_endothelial_cell,549,168.0,168,10_60296002_60299097,5903,Psap,1.0
853010,385,Brain_Non-Myeloid_endothelial_cell,549,26.0,26,10_60296002_60299097,5903,Psap,1.0
853011,386,Brain_Non-Myeloid_endothelial_cell,549,265.0,265,10_60296002_60299097,5903,Psap,1.0
853012,388,Brain_Non-Myeloid_endothelial_cell,549,308.0,308,10_60296002_60299097,5903,Psap,1.0
853013,389,Brain_Non-Myeloid_endothelial_cell,549,18.0,18,10_60296002_60299097,5903,Psap,1.0
853014,390,Brain_Non-Myeloid_endothelial_cell,549,259.0,259,10_60296002_60299097,5903,Psap,1.0
853015,392,Brain_Non-Myeloid_endothelial_cell,549,91.0,91,10_60296002_60299097,5903,Psap,1.0
853016,393,Brain_Non-Myeloid_endothelial_cell,549,30.0,30,10_60296002_60299097,5903,Psap,1.0
853017,394,Brain_Non-Myeloid_endothelial_cell,549,19.0,19,10_60296002_60299097,5903,Psap,1.0
853018,395,Brain_Non-Myeloid_endothelial_cell,549,108.0,108,10_60296002_60299097,5903,Psap,1.0
853019,396,Brain_Non-Myeloid_endothelial_cell,549,41.0,41,10_60296002_60299097,5903,Psap,1.0
853020,397,Brain_Non-Myeloid_endothelial_cell,549,88.0,88,10_60296002_60299097,5903,Psap,1.0
853021,398,Brain_Non-Myeloid_endothelial_cell,549,111.0,111,10_60296002_60299097,5903,Psap,1.0
853022,399,Brain_Non-Myeloid_endothelial_cell,549,217.0,217,10_60296002_60299097,5903,Psap,1.0
853023,400,Brain_Non-Myeloid_endothelial_cell,549,178.0,178,10_60296002_60299097,5903,Psap,1.0
853024,401,Brain_Non-Myeloid_endothelial_cell,549,210.0,210,10_60296002_60299097,5903,Psap,1.0
853025,402,Brain_Non-Myeloid_endothelial_cell,549,60.0,60,10_60296002_60299097,5903,Psap,1.0
